Player Name,Team,Position,Games,G,A,Points,+/-,PIM,SOG,GWG,PPG,PPA,PPP,BS,Hits,SHG,SHA
Matt Luff,LAK,RW,18,1,4,5,-5,2,25,0,0,0,0,5,16,0,0
Ville Heinola,WPG,D,8,1,4,5,3,4,10,0,0,1,1,5,3,0,0
Stephen Johns,DAL,D,17,2,3,5,0,10,30,0,0,0,0,20,50,0,0
Josh Anderson,MTL,RW,26,1,3,4,-8,17,63,0,0,0,0,13,68,0,0
Carl Grundstrom,LAK,RW,13,0,4,4,2,8,16,0,0,0,0,4,29,0,0
John Hayden,ARI,C,43,3,1,4,-2,77,39,1,0,0,0,27,87,0,0
Ross Johnston,NYI,LW,32,3,1,4,1,78,16,0,0,0,0,14,93,0,0
Phillip Di Giuseppe,NYR,LW,20,1,3,4,1,2,35,0,0,0,0,20,38,0,0
Ilya Lyubushkin,ARI,D,51,0,4,4,4,18,41,0,0,0,0,53,151,0,0
Erik Brannstrom,OTT,D,31,0,4,4,-9,16,38,0,0,1,1,36,15,0,0
Brent Seabrook,CHI,D,32,3,1,4,1,8,40,1,1,0,1,61,52,0,0
Barrett Hayton,ARI,C,20,1,3,4,2,14,27,1,0,0,0,3,14,0,0
Isac Lundestrom,ANA,C,15,0,4,4,-2,0,10,0,0,1,1,8,5,0,0
Dakota Mermis,MIN,D,10,1,3,4,7,4,17,0,0,0,0,21,20,0,0
Jesper Boqvist,NJD,C,35,4,0,4,-11,8,41,0,1,0,1,16,37,0,0
Rasmus Asplund,BUF,C,29,1,2,3,-4,6,36,0,0,0,0,7,20,0,1
Matt Tennyson,NJD,D,20,0,3,3,-2,6,14,0,0,0,0,18,27,0,0
Andrew Peeke,CBJ,D,22,1,2,3,1,4,23,0,0,0,0,21,25,0,0
Dennis Gilbert,COL,D,21,1,2,3,-8,38,12,0,0,0,0,33,74,0,0
Christian Djoos,DET,D,11,1,2,3,3,0,13,0,0,1,1,12,2,0,0
Luke Schenn,TBL,D,25,1,2,3,-8,23,31,0,0,0,0,21,83,0,0
John Moore,BOS,D,24,2,1,3,-2,11,33,0,0,0,0,27,36,0,0
Stefan Matteau,CBJ,C,9,2,1,3,0,5,18,0,0,0,0,10,27,0,0
Jake Evans,MTL,C,13,2,1,3,1,0,14,0,0,0,0,5,16,0,0
Rudolfs Balcers,SJS,LW,15,1,2,3,-2,0,23,1,0,0,0,7,19,0,0
Matt Irwin,BUF,D,36,0,3,3,-15,15,58,0,0,0,0,54,80,0,0
Yannick Weber,PIT,D,41,1,2,3,-1,14,45,1,0,0,0,38,37,0,0
Julien Gauthier,NYR,RW,17,0,3,3,1,8,10,0,0,0,0,7,15,0,0
Connor Bunnaman,PHI,C,21,1,1,2,7,2,18,0,0,0,0,2,29,0,0
Nick Bjugstad,MIN,C,13,1,1,2,3,8,18,0,0,0,0,7,19,0,0
Fredrik Claesson,SJS,D,5,1,1,2,1,0,1,0,0,0,0,7,5,0,0
Jacob Middleton,SJS,D,10,0,2,2,-2,9,9,0,0,0,0,5,18,0,0
