Player Name,Team,Position,Games,G,A,Points,+/-,PIM,SOG,GWG,PPG,PPA,PPP,BS,Hits,SHG,SHA
Will Butcher,NJD,D,56,4,17,21,-8,6,62,1,0,1,1,75,31,0,0
Andreas Johnsson,NJD,LW,43,8,13,21,0,14,78,1,4,1,5,21,43,0,0
Matt Nieto,SJS,LW,70,8,13,21,7,6,85,3,0,0,0,23,37,2,0
Valtteri Filppula,DET,C,70,6,15,21,-42,24,63,0,1,4,5,31,28,1,0
Mattias Janmark,CHI,C,62,6,15,21,-5,12,86,0,1,4,5,37,22,1,1
Jason Dickinson,DAL,C,65,9,12,21,7,6,85,1,0,0,0,55,89,0,1
Joel Farabee,PHI,LW,52,8,13,21,6,39,81,1,1,1,2,18,31,0,0
Matt Grzelcyk,BOS,D,68,4,17,21,15,34,112,1,1,6,7,67,56,0,1
Corey Perry,MTL,RW,57,5,16,21,-2,70,77,0,1,6,7,33,60,0,0
Nick Ritchie,BOS,LW,48,9,12,21,1,97,78,2,2,1,3,17,102,0,0
Josh Archibald,EDM,RW,62,12,9,21,-8,12,64,3,0,0,0,44,165,2,1
Nick Leddy,NYI,D,60,3,18,21,-1,14,72,0,1,3,4,72,62,0,0
Tyler Myers,VAN,D,68,6,15,21,-7,49,134,1,1,6,7,108,99,1,0
Jack Hughes,NJD,C,61,7,14,21,-26,10,123,2,4,5,9,21,12,0,0
Ben Chiarot,MTL,D,69,9,12,21,5,61,130,3,0,0,0,128,152,0,0
Ethan Bear,EDM,D,71,5,16,21,-4,33,99,1,1,1,2,106,59,0,0
Mike Matheson,PIT,D,59,8,12,20,-1,14,104,1,1,1,2,53,44,0,0
Michael Raffl,PHI,LW,58,8,12,20,-2,14,66,2,0,1,1,25,73,1,0
Christopher Tanev,CGY,D,69,2,18,20,4,41,45,1,0,1,1,159,32,0,1
Artem Anisimov,OTT,C,49,15,5,20,-15,8,87,1,5,1,6,25,6,0,0
Joel Edmundson,MTL,D,68,7,13,20,7,72,97,0,0,0,0,91,118,0,0
Radek Faksa,DAL,C,66,11,9,20,-6,42,109,3,3,0,3,44,84,0,0
Tyler Pitlick,ARI,C,63,8,12,20,11,12,76,1,0,0,0,42,132,0,0
Ryan Hartman,MIN,RW,69,9,11,20,4,69,114,1,1,0,1,54,44,0,0
Jimmy Vesey,TOR,LW,64,9,11,20,12,15,93,2,0,1,1,20,43,1,0
Milan Lucic,CGY,LW,68,8,12,20,-6,54,83,1,5,3,8,20,198,0,0
Nick Paul,OTT,LW,56,9,11,20,0,24,103,2,0,1,1,39,122,0,0
Anton Stralman,FLA,D,69,5,14,19,-6,14,89,3,0,0,0,96,68,0,1
Kyle Okposo,BUF,RW,52,9,10,19,-3,28,82,2,1,0,1,15,55,0,0
Connor Murphy,CHI,D,58,5,14,19,2,27,117,0,0,0,0,138,128,0,1
Zemgus Girgensons,BUF,LW,69,12,7,19,-1,10,85,1,0,0,0,20,110,1,0
Carter Rowney,ANA,C,71,8,11,19,5,14,63,1,0,0,0,42,189,2,2
Anders Bjork,BOS,LW,58,9,10,19,5,10,66,0,1,0,1,21,43,0,0
Brandon Carlo,BOS,D,67,4,15,19,16,33,111,0,0,0,0,76,126,0,0
TJ Brodie,TOR,D,64,4,15,19,7,36,65,1,0,1,1,87,20,0,0
Justin Braun,PHI,D,62,3,16,19,-2,18,70,0,0,1,1,84,91,0,0
Brad Hunt,MIN,D,59,8,11,19,-7,6,106,0,3,7,10,39,12,0,0
Josh Leivo,CGY,LW,36,7,12,19,0,4,69,0,0,5,5,8,17,0,0
Brett Howden,NYR,C,70,9,10,19,-11,28,64,2,1,1,2,67,69,0,2
William Carrier,VGK,LW,71,7,12,19,0,39,99,1,0,0,0,11,213,0,0
Matt Roy,LAK,D,70,4,14,18,16,10,112,0,0,1,1,100,132,0,0
Mark Pysyk,DAL,D,58,9,9,18,4,20,64,1,0,0,0,38,47,0,0
Mark Borowiecki,NSH,D,53,7,11,18,1,58,63,0,0,0,0,120,199,1,0
Brett Pesce,CAR,D,61,4,14,18,7,27,104,0,0,0,0,91,22,0,2
Cedric Paquette,CAR,C,61,7,11,18,-1,42,78,0,0,0,0,49,175,1,1
Justin Holl,TOR,D,68,2,16,18,13,43,89,0,0,0,0,83,89,0,0
Johan Larsson,ARI,LW,62,6,12,18,8,26,60,0,0,0,0,31,85,0,0
Brandon Montour,BUF,D,54,5,13,18,13,28,86,0,0,2,2,53,60,0,0
Oskar Lindblom,PHI,LW,30,11,7,18,4,4,72,0,3,1,4,16,31,0,0
MacKenzie Weegar,FLA,D,45,7,11,18,6,33,77,1,0,0,0,71,76,0,0
Vladislav Gavrikov,CBJ,D,69,5,13,18,1,18,81,1,0,0,0,92,79,0,0
P.K. Subban,NJD,D,68,7,11,18,-21,79,151,3,2,4,6,90,88,0,0
Brendan Lemieux,NYR,LW,59,6,12,18,-14,111,86,0,2,3,5,52,164,1,1
Marcus Sorensen,SJS,LW,66,7,11,18,-12,26,78,0,0,0,0,18,56,1,0
Michal Kempny,WSH,D,58,3,15,18,19,22,73,0,0,0,0,72,42,0,0
Kyle Clifford,STL,LW,69,7,10,17,-7,68,110,0,0,0,0,15,133,0,0
Alex Tuch,VGK,RW,42,8,9,17,-10,8,98,2,3,4,7,20,58,0,0
Brandon Sutter,VAN,C,44,8,9,17,1,25,76,0,1,2,3,15,18,0,0
Brock McGinn,CAR,LW,68,7,10,17,-4,17,93,1,0,0,0,28,80,2,0
Madison Bowey,CHI,D,53,3,14,17,-16,34,70,0,0,1,1,58,53,0,0
Troy Stecher,DET,D,69,5,12,17,10,32,86,0,0,0,0,70,69,0,0
Olli Maatta,LAK,D,65,4,13,17,0,20,80,0,0,0,0,110,119,0,2
Garnet Hathaway,WSH,RW,66,9,7,16,6,79,80,1,0,0,0,46,189,0,1
Mike Reilly,OTT,D,44,1,15,16,-6,24,85,1,1,8,9,46,39,0,1
Erik Johnson,COL,D,59,3,13,16,9,20,99,1,0,0,0,115,97,0,0
Michael Amadio,LAK,C,68,6,10,16,-11,10,99,0,0,3,3,22,21,0,0
Tucker Poolman,WPG,D,57,4,12,16,-1,24,64,1,0,0,0,59,58,1,0
Justin Faulk,STL,D,69,5,11,16,-3,32,147,1,1,2,3,76,82,0,1
