player_id,Player Name,Team,Position,Games,G,A,Points,+/-,PIM,SOG,GWG,PPG,PPA,PPP,BS,Hits,SHG,SHA
8471677,Jack Johnson,NYR,D,82,1,12,13,-4,41,86,0,1,1,2,147,233,0,2
8476473,Connor Murphy,CHI,D,52,5,8,13,12,40,84,1,0,0,0,91,119,0,0
8476428,Rocco Grimaldi,NSH,RW,53,5,8,13,-2,10,81,0,0,0,0,20,32,0,0
8474618,Marco Scandella,STL,D,63,6,7,13,-13,26,83,1,0,0,0,75,53,0,1
8474040,Sam Gagner,DET,C,32,6,7,13,-6,14,68,1,1,0,1,7,21,0,0
8471686,Marc Staal,DET,D,79,3,10,13,-9,32,84,0,0,0,0,119,94,0,0
8478846,Christian Wolanin,OTT,D,30,4,8,12,3,6,36,1,0,3,3,31,11,0,0
8480748,Kiefer Sherwood,COL,LW,50,6,6,12,1,8,60,1,0,0,0,19,79,0,0
8475752,Tyler Pitlick,ARI,C,47,8,4,12,-2,6,75,1,1,0,1,27,93,0,0
8479420,Tage Thompson,BUF,RW,65,7,5,12,-22,20,108,0,1,0,1,9,66,0,0
8476419,Jean-Gabriel Pageau,NYI,C,39,4,8,12,-12,14,83,0,0,0,0,38,63,0,0
8475690,Christopher Tanev,CGY,D,55,2,10,12,3,18,51,0,0,0,0,122,29,0,0
8475807,Joakim Nordstrom,CGY,C,70,7,5,12,0,13,103,3,0,0,0,52,86,0,0
8476470,Nathan Beaulieu,WPG,D,48,3,9,12,6,39,60,0,0,1,1,42,60,0,0
8478874,Adam Gaudette,VAN,C,56,5,7,12,-8,18,55,1,0,2,2,15,48,0,0
8474062,Riley Nash,CBJ,C,78,3,9,12,-8,19,79,1,0,0,0,43,72,0,0
8477963,Jayce Hawryluk,VAN,C,42,7,5,12,-8,16,35,0,0,1,1,25,101,0,0
8480035,Henri Jokiharju,BUF,D,38,0,12,12,-7,16,62,0,0,1,1,37,48,0,0
8476779,Brad Hunt,MIN,D,42,5,7,12,-2,8,75,1,4,4,8,28,18,0,0
8473453,Trevor Lewis,WPG,C,44,3,9,12,-9,9,87,1,0,0,0,25,53,0,0
8476467,Jamie Oleksiak,DAL,D,57,4,8,12,5,45,55,0,0,0,0,59,135,0,0
8476166,Taylor Fedun,DAL,D,54,4,7,11,2,14,86,0,0,2,2,58,19,0,1
8476356,Tobias Rieder,BUF,LW,67,0,11,11,-8,8,92,0,0,2,2,44,69,0,0
8476941,Connor Carrick,NJD,D,34,2,9,11,-13,19,42,1,0,1,1,37,25,0,0
8476441,Joel Edmundson,MTL,D,64,2,9,11,8,68,102,1,0,0,0,106,128,0,0
8476905,Chandler Stephenson,VGK,C,64,5,6,11,-13,0,36,0,0,0,0,33,38,1,0
8479351,Sam Steel,ANA,C,22,6,5,11,2,8,33,0,0,2,2,6,9,1,0
8476422,Mike Reilly,OTT,D,57,3,8,11,0,16,101,1,1,0,1,53,48,0,0
8475796,Mark Pysyk,DAL,D,70,1,10,11,-1,26,64,0,0,0,0,89,133,0,1
8479644,Matt Luff,LAK,RW,33,8,3,11,-2,9,45,2,1,0,1,19,17,0,0
8474145,Robert Bortuzzo,STL,D,59,2,8,10,9,47,75,0,0,0,0,72,95,0,1
8478443,Brandon Carlo,BOS,D,72,2,8,10,22,47,116,0,0,0,0,88,134,0,2
8475747,Patrik Nemeth,DET,D,74,1,9,10,5,53,57,0,0,0,0,131,137,0,1
8478891,Mason Appleton,WPG,C,36,3,7,10,9,4,29,1,0,0,0,12,28,0,0
8471769,Niklas Hjalmarsson,ARI,D,82,0,10,10,8,44,57,0,0,0,0,187,45,0,2
8479291,Kevin Rooney,NYR,C,41,6,4,10,-4,15,39,1,0,0,0,22,77,1,0
8474584,Michael Del Zotto,CBJ,D,42,1,9,10,-2,8,45,0,0,0,0,53,129,0,0
8477501,Valeri Nichushkin,COL,RW,57,0,10,10,-4,0,65,0,0,0,0,32,71,0,0
8470621,Corey Perry,MTL,RW,31,6,4,10,-16,27,59,1,2,2,4,14,21,0,0
8480336,Sean Walker,LAK,D,39,3,7,10,-8,8,55,0,1,0,1,40,43,0,0
8476927,Teddy Blueger,PIT,C,28,6,4,10,7,15,33,1,0,0,0,14,52,1,2
8475790,Erik Gudbranson,OTT,D,76,2,8,10,-20,87,94,1,0,0,0,84,184,0,1
8476285,Matthew Peca,OTT,C,39,3,7,10,-14,4,35,0,0,0,0,21,33,0,1
8477474,Madison Bowey,CHI,D,50,2,8,10,-1,46,48,1,0,0,0,63,72,0,0
8477043,Christian Djoos,DET,D,45,1,9,10,9,4,33,0,0,0,0,28,18,0,0
8478055,Gustav Forsling,FLA,D,43,3,6,9,-9,30,57,0,0,0,0,38,38,0,0
8480208,Drake Batherson,OTT,RW,20,3,6,9,-2,6,18,2,2,1,3,21,17,0,0
8479344,Jesse Puljujarvi,EDM,RW,46,4,5,9,-14,16,53,0,0,1,1,26,46,0,0
8480160,Radim Simek,SJS,D,41,1,8,9,7,8,41,1,0,0,0,34,67,0,0
8477455,Jacob de la Rose,STL,LW,60,3,6,9,-13,16,55,0,0,0,0,29,72,0,0
8477478,William Carrier,VGK,LW,54,8,1,9,-4,29,85,1,0,0,0,13,277,0,0
8476437,Victor Rask,MIN,C,49,3,6,9,-4,8,55,0,0,2,2,12,40,0,0
8476474,Stefan Noesen,SJS,RW,41,3,5,8,-19,28,64,0,0,0,0,21,95,0,0
8478430,Oliver Kylington,CGY,D,38,3,5,8,3,10,21,1,0,0,0,41,11,0,0
8474218,Jason Demers,ARI,D,35,2,6,8,9,12,39,2,0,1,1,43,50,0,0
8480172,Jan Rutta,TBL,D,37,2,6,8,4,16,42,0,0,0,0,30,24,0,0
8475246,Kevin Connauton,FLA,D,50,1,7,8,-2,22,75,0,0,0,0,75,108,0,2
8479675,Trevor Moore,LAK,C,25,2,6,8,1,2,26,0,0,0,0,7,15,0,0
8474134,Yannick Weber,PIT,D,62,2,6,8,7,18,67,0,0,0,0,32,64,0,0
8480031,Max Comtois,ANA,LW,10,2,5,7,3,7,9,1,0,0,0,3,27,0,0
8475625,Matt Irwin,BUF,D,44,1,6,7,5,38,50,0,0,0,0,37,80,0,0
8474125,Carl Gunnarsson,STL,D,25,3,4,7,8,6,21,1,0,0,0,35,11,0,1
8474688,Greg Pateryn,COL,D,80,1,6,7,-11,41,100,0,0,0,0,118,144,0,0
